iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
22000,964.6726 ± 35.2207,43.2320 ± 5.9727,151.9780 ± 32.6383,103.1170 ± 35.3479,0.6248 ± 0.0350,0.0570 ± 0.0201,0.0483 ± 0.0205,-64493.0163 ± 2908.2505,-63020.3154 ± 2004.6934,-64552.4705 ± 3445.4067,-62676.2623 ± 1979.9459,250.9710 ± 40.7533,259.2855 ± 27.1072,248.8904 ± 19.4970,0.9000 ± 0.0000,0.0000 ± 0.0000,58970.4932 ± 298.1535,-57980.3884 ± 668.5356
23000,1024.8672 ± 41.0796,13.3148 ± 2.1772,150.5190 ± 40.6185,107.7590 ± 42.3844,0.6258 ± 0.0487,0.0879 ± 0.0365,0.0665 ± 0.0398,-65404.4657 ± 5294.8978,-63380.3327 ± 3749.8121,-65738.6581 ± 5944.3437,-63617.7579 ± 4473.9104,258.2299 ± 52.1322,256.4440 ± 35.2002,248.4598 ± 38.8739,0.9000 ± 0.0000,0.0000 ± 0.0000,,
24000,1056.4541 ± 42.5716,45.8356 ± 5.9052,168.3750 ± 31.8893,116.8520 ± 33.6028,0.5779 ± 0.0565,0.0515 ± 0.0231,0.0333 ± 0.0139,-65650.6902 ± 3116.7154,-64271.4175 ± 3260.7909,-65939.1089 ± 4250.8938,-64330.3367 ± 4019.8214,217.0276 ± 52.9913,251.7313 ± 37.1114,241.9691 ± 39.6084,0.9000 ± 0.0000,0.0000 ± 0.0000,59633.7618 ± 648.2712,-58594.0088 ± 631.4898
25000,1119.1496 ± 46.8905,13.3411 ± 1.1361,157.0840 ± 23.3286,109.8890 ± 24.5711,0.5892 ± 0.0350,0.0652 ± 0.0171,0.0425 ± 0.0180,-64545.1345 ± 2266.8533,-63453.1112 ± 2308.0417,-64530.6286 ± 2755.6852,-63178.8110 ± 2613.7235,246.8777 ± 62.6768,236.7695 ± 41.3837,232.9729 ± 40.2730,0.9000 ± 0.0000,0.0000 ± 0.0000,,
26000,1149.9897 ± 47.5610,44.7793 ± 3.3269,153.4190 ± 18.9337,111.6680 ± 19.7496,0.5958 ± 0.0243,0.0802 ± 0.0184,0.0486 ± 0.0116,-65120.2492 ± 2350.1999,-63895.8992 ± 2312.1581,-65186.8241 ± 2672.7418,-63751.7914 ± 2422.5811,209.5743 ± 39.1904,226.8099 ± 41.6030,218.6895 ± 39.7932,0.9000 ± 0.0000,0.0000 ± 0.0000,59727.1111 ± 1274.2655,-58768.5344 ± 1277.6297
27000,1212.0141 ± 52.8507,12.9928 ± 1.0680,146.7410 ± 23.7497,102.0930 ± 23.3767,0.5926 ± 0.0460,0.0776 ± 0.0423,0.0531 ± 0.0312,-64278.3534 ± 1525.3641,-62955.0235 ± 1150.3454,-64223.1497 ± 1709.7257,-62894.8288 ± 1257.4525,196.0620 ± 40.4534,210.3368 ± 33.1604,204.9388 ± 38.7749,0.9000 ± 0.0000,0.0000 ± 0.0000,,
28000,1242.8705 ± 56.2001,41.8484 ± 2.8366,140.0190 ± 17.6829,95.4750 ± 16.6483,0.5933 ± 0.0408,0.0810 ± 0.0331,0.0463 ± 0.0180,-62933.8245 ± 1453.4562,-62223.4087 ± 1292.9228,-62721.0283 ± 1455.6159,-61936.6584 ± 1285.8607,205.9545 ± 29.5632,204.3120 ± 31.2437,203.7811 ± 33.6918,0.9000 ± 0.0000,0.0000 ± 0.0000,58504.9182 ± 894.0726,-57890.3978 ± 551.9832
29000,1301.4646 ± 58.9079,12.6796 ± 0.9333,144.2290 ± 16.0198,97.7960 ± 20.9259,0.5667 ± 0.0420,0.0898 ± 0.0372,0.0402 ± 0.0148,-63373.6821 ± 1654.0228,-62773.3347 ± 1687.9487,-63204.0092 ± 1787.8670,-62500.1775 ± 1785.2478,207.9296 ± 51.1509,193.3854 ± 24.3768,185.6053 ± 25.0542,0.9000 ± 0.0000,0.0000 ± 0.0000,,
30000,1331.3420 ± 60.2759,41.5461 ± 3.8696,138.7820 ± 24.0071,95.0860 ± 21.0715,0.6122 ± 0.0504,0.0989 ± 0.0438,0.0568 ± 0.0419,-63187.3901 ± 1272.9115,-62429.7439 ± 847.0064,-62877.0461 ± 1586.7960,-62118.2612 ± 1262.2175,149.9725 ± 42.3970,185.6169 ± 21.0670,176.9140 ± 25.9695,0.9000 ± 0.0000,0.0000 ± 0.0000,58490.5575 ± 978.5643,-57511.4683 ± 253.6207
31000,1389.8324 ± 63.8164,12.3788 ± 1.1849,139.5450 ± 21.7269,93.3890 ± 22.0790,0.5874 ± 0.0489,0.0912 ± 0.0349,0.0453 ± 0.0223,-63488.5686 ± 1770.8362,-62569.6381 ± 1844.5313,-63382.7064 ± 2277.1622,-62328.5328 ± 2194.7305,191.9548 ± 49.9340,176.8621 ± 14.6603,166.8656 ± 26.4658,0.9000 ± 0.0000,0.0000 ± 0.0000,,
32000,1419.1732 ± 65.1340,41.0662 ± 3.3508,133.4890 ± 20.3575,91.0750 ± 19.8454,0.5972 ± 0.0444,0.0821 ± 0.0388,0.0506 ± 0.0295,-63083.5533 ± 1413.3654,-61959.1490 ± 799.6349,-62987.6086 ± 1897.0800,-61714.8909 ± 1112.7557,194.9054 ± 58.6093,169.9225 ± 15.4560,160.3528 ± 20.7971,0.9000 ± 0.0000,0.0000 ± 0.0000,58615.3853 ± 842.0165,-57840.5638 ± 490.5197
33000,1477.4248 ± 68.3535,12.4555 ± 0.6217,136.0250 ± 11.5077,93.2830 ± 12.7828,0.5780 ± 0.0400,0.1126 ± 0.0471,0.0429 ± 0.0173,-62631.8379 ± 1031.0304,-62137.8918 ± 851.6841,-62519.1758 ± 1140.8604,-61917.8081 ± 1002.8378,131.8050 ± 34.1454,162.7679 ± 18.6174,153.7200 ± 25.1066,0.9000 ± 0.0000,0.0000 ± 0.0000,,
34000,1506.9523 ± 69.8273,41.7803 ± 2.8579,136.3850 ± 10.4095,94.4870 ± 17.0244,0.5729 ± 0.0429,0.0963 ± 0.0359,0.0410 ± 0.0179,-63156.4831 ± 770.4036,-62117.2919 ± 779.8011,-62594.6142 ± 1120.3825,-61529.7241 ± 700.4726,164.1466 ± 33.1955,161.5840 ± 25.5506,163.2978 ± 30.6411,0.9000 ± 0.0000,0.0000 ± 0.0000,57915.4652 ± 518.8381,-57227.9436 ± 411.9965
35000,1565.8304 ± 72.9632,12.5006 ± 0.7227,137.0480 ± 14.3186,93.7230 ± 16.1003,0.5931 ± 0.0388,0.0911 ± 0.0294,0.0436 ± 0.0155,-62483.6241 ± 755.6343,-61756.1004 ± 1042.0800,-61828.0810 ± 816.4995,-61143.5731 ± 892.4859,159.2133 ± 56.5215,150.8199 ± 24.9238,155.9223 ± 43.0248,0.9000 ± 0.0000,0.0000 ± 0.0000,,
36000,1595.1959 ± 73.5403,41.4613 ± 3.2020,136.2680 ± 13.0841,92.1680 ± 18.0240,0.5793 ± 0.0157,0.1086 ± 0.0437,0.0394 ± 0.0061,-62561.5537 ± 1329.1623,-62047.5094 ± 1036.3743,-61964.8381 ± 1643.8058,-61329.7999 ± 1232.3101,150.4343 ± 70.4454,144.0649 ± 30.8199,146.3611 ± 44.0113,0.9000 ± 0.0000,0.0000 ± 0.0000,57752.9758 ± 908.2165,-57215.4623 ± 320.2170
37000,1652.9286 ± 76.5522,12.3411 ± 0.7482,130.3440 ± 11.1070,89.5690 ± 17.2957,0.5795 ± 0.0310,0.1019 ± 0.0437,0.0435 ± 0.0152,-61555.8297 ± 658.7724,-61183.6063 ± 767.2050,-61211.5768 ± 726.6977,-60771.6968 ± 672.9088,144.0760 ± 85.7076,137.4301 ± 29.4712,132.6046 ± 37.5917,0.9000 ± 0.0000,0.0000 ± 0.0000,,
38000,1682.2969 ± 77.7925,40.8605 ± 3.2803,136.0230 ± 17.3504,88.9510 ± 18.1545,0.5716 ± 0.0321,0.0756 ± 0.0215,0.0337 ± 0.0056,-62238.1203 ± 761.1849,-61593.1900 ± 714.6863,-61553.9383 ± 841.7846,-61052.3066 ± 682.7304,118.0041 ± 35.2278,143.6009 ± 44.6702,135.7672 ± 33.8881,0.9000 ± 0.0000,0.0000 ± 0.0000,57248.1662 ± 560.5347,-56731.6800 ± 339.8901
39000,1739.1840 ± 81.2046,12.2727 ± 0.8545,135.5880 ± 19.6737,87.4000 ± 19.1802,0.5717 ± 0.0482,0.0808 ± 0.0347,0.0367 ± 0.0133,-62171.7910 ± 655.2949,-61703.2894 ± 657.4697,-61504.0053 ± 724.2959,-60929.7289 ± 730.9302,149.1250 ± 32.2853,128.2399 ± 33.5538,139.3431 ± 33.2252,0.9000 ± 0.0000,0.0000 ± 0.0000,,
