iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
29000,732.4841 ± 14.4205,4.9444 ± 0.4426,43.6900 ± 16.4158,43.2560 ± 11.5744,0.6771 ± 0.0897,0.3293 ± 0.1481,0.1920 ± 0.0979,-14194.5733 ± 492.9029,-14029.0664 ± 439.4442,-14132.3167 ± 482.0225,-13976.7741 ± 437.1245,56.1094 ± 6.0111,62.8360 ± 10.2546,59.8778 ± 9.5427,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,748.4816 ± 16.0913,16.0920 ± 1.6042,43.4020 ± 16.0174,43.3060 ± 11.9020,0.6615 ± 0.0873,0.3169 ± 0.1204,0.1843 ± 0.0812,-14093.8421 ± 556.3769,-13971.6083 ± 525.6309,-14069.7474 ± 520.2487,-13951.4584 ± 494.5384,62.1862 ± 16.4658,57.4373 ± 6.2661,61.2984 ± 10.1589,0.9000 ± 0.0000,0.0001 ± 0.0000,12979.2446 ± 408.4203,-12891.1973 ± 383.8616
31000,774.6983 ± 19.0623,4.8196 ± 0.3136,41.8440 ± 13.6991,42.0630 ± 10.1614,0.6731 ± 0.0896,0.3166 ± 0.1076,0.1795 ± 0.0785,-14033.0873 ± 444.9694,-13907.6334 ± 481.9260,-14013.4324 ± 415.2275,-13911.3623 ± 469.0469,51.8088 ± 2.2723,55.2285 ± 6.7289,57.7694 ± 7.1174,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,789.3651 ± 19.5058,16.2314 ± 1.3623,42.9170 ± 13.1055,42.9440 ± 9.9263,0.6686 ± 0.0771,0.3253 ± 0.0983,0.1717 ± 0.0642,-14049.9134 ± 415.0474,-13960.8554 ± 385.2385,-14020.1781 ± 381.5398,-13934.6140 ± 359.7514,47.7531 ± 8.3421,51.3814 ± 1.6017,47.1755 ± 2.8971,0.9000 ± 0.0000,0.0001 ± 0.0000,12936.1821 ± 334.4888,-12879.2274 ± 315.7778
33000,814.9358 ± 20.6038,4.9467 ± 0.2276,42.3140 ± 13.2941,44.0510 ± 7.4268,0.6993 ± 0.0978,0.3468 ± 0.1363,0.2138 ± 0.1106,-13967.8209 ± 407.5183,-13863.0667 ± 408.4456,-13967.1194 ± 386.3274,-13853.6079 ± 386.1816,48.4620 ± 5.3225,47.8619 ± 2.6268,47.2960 ± 5.5375,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,829.6648 ± 20.7647,16.7557 ± 1.0312,46.4400 ± 12.5411,46.5470 ± 7.8468,0.6902 ± 0.0831,0.3229 ± 0.1347,0.1899 ± 0.1112,-14088.6059 ± 383.0893,-13905.4889 ± 307.4748,-14077.2247 ± 376.8486,-13909.2165 ± 311.0058,43.0639 ± 9.1061,44.9709 ± 4.3590,43.1013 ± 6.2057,0.9000 ± 0.0000,0.0001 ± 0.0000,12905.4360 ± 350.8396,-12786.0305 ± 284.0865
35000,855.9453 ± 21.1686,5.0225 ± 0.2133,44.7090 ± 10.9891,46.2680 ± 6.0085,0.6760 ± 0.0776,0.3259 ± 0.1155,0.1817 ± 0.0839,-14039.1950 ± 252.5307,-13898.0060 ± 288.3954,-14020.1150 ± 254.5082,-13887.3122 ± 277.7329,38.3205 ± 3.8333,42.0320 ± 3.2476,40.3305 ± 3.5932,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,870.6862 ± 21.3232,16.5613 ± 0.6214,45.0060 ± 9.7918,45.6460 ± 5.3205,0.6657 ± 0.0873,0.3230 ± 0.1235,0.1739 ± 0.0872,-14042.5288 ± 349.1524,-13857.9941 ± 348.6187,-14019.2560 ± 331.4968,-13846.4409 ± 311.0943,43.7388 ± 9.1934,41.2330 ± 4.0735,41.2987 ± 5.7534,0.9000 ± 0.0000,0.0001 ± 0.0000,12854.5831 ± 302.8748,-12794.3342 ± 293.4704
37000,896.2727 ± 21.9525,4.9102 ± 0.1817,41.5930 ± 11.2722,42.6930 ± 5.9640,0.6636 ± 0.0942,0.3409 ± 0.1383,0.1983 ± 0.1227,-13893.0240 ± 360.0778,-13754.5404 ± 402.9566,-13885.0181 ± 359.6325,-13743.6461 ± 394.6643,45.2967 ± 13.4257,41.4522 ± 3.4245,44.1995 ± 6.9648,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,911.0393 ± 22.0869,16.7042 ± 0.7683,44.7290 ± 11.8064,45.7000 ± 5.9354,0.6862 ± 0.0865,0.3228 ± 0.1357,0.2074 ± 0.0969,-14049.3610 ± 389.4139,-13847.3520 ± 359.2309,-14063.7194 ± 387.5535,-13875.6694 ± 359.6625,39.9024 ± 12.2555,40.9416 ± 5.3494,38.6103 ± 9.0874,0.9000 ± 0.0000,0.0001 ± 0.0000,12907.3231 ± 297.6064,-12800.5280 ± 278.8490
39000,936.9459 ± 22.8710,5.0733 ± 0.3451,45.2880 ± 14.2386,46.7920 ± 9.1145,0.6644 ± 0.0967,0.3295 ± 0.1459,0.1944 ± 0.1060,-14194.6843 ± 608.3175,-13951.9962 ± 426.1266,-14154.3234 ± 527.6231,-13964.2736 ± 425.9449,39.9029 ± 8.3514,40.6794 ± 6.2325,39.2848 ± 7.1573,0.9000 ± 0.0000,0.0001 ± 0.0000,,
