iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
18000,485.6663 ± 6.3416,18.0335 ± 1.8505,62.0100 ± 12.5586,55.9370 ± 12.6963,0.6011 ± 0.0567,0.1978 ± 0.0731,0.1176 ± 0.0476,-15347.2069 ± 280.3701,-14941.7516 ± 330.5195,-15343.5700 ± 234.4648,-14951.4357 ± 305.7939,195.3640 ± 44.7899,111.8035 ± 7.8727,116.8034 ± 9.0041,0.8100 ± 0.0000,0.0001 ± 0.0000,13750.4087 ± 446.6360,-13483.7962 ± 510.7778
19000,513.4799 ± 8.1282,5.5374 ± 0.4754,61.3830 ± 12.6484,55.8330 ± 11.3048,0.5959 ± 0.0736,0.2085 ± 0.0855,0.1261 ± 0.0779,-15456.4525 ± 383.4622,-14977.3242 ± 383.7615,-15479.3775 ± 385.1642,-15027.8496 ± 435.6367,188.9436 ± 58.5160,105.0473 ± 9.4381,113.2920 ± 11.3521,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,528.8043 ± 8.7560,17.8849 ± 1.7885,60.8340 ± 11.4953,54.0850 ± 11.8647,0.5929 ± 0.0523,0.1858 ± 0.0643,0.1144 ± 0.0487,-15396.8458 ± 584.0816,-14939.3941 ± 576.8008,-15438.6229 ± 595.4757,-14987.2808 ± 573.4099,163.2156 ± 53.7344,97.7102 ± 14.8655,104.1305 ± 17.6953,0.9000 ± 0.0000,0.0001 ± 0.0000,14004.2989 ± 563.7331,-13720.4985 ± 575.4988
21000,556.7976 ± 11.7689,5.0985 ± 0.3901,51.0900 ± 10.7431,46.1710 ± 9.5044,0.6215 ± 0.0703,0.2351 ± 0.1027,0.1460 ± 0.0783,-14794.4338 ± 575.0710,-14546.4085 ± 570.1521,-14844.5265 ± 602.8463,-14591.6871 ± 584.4778,133.7218 ± 48.5417,87.6474 ± 14.3871,91.0175 ± 15.0530,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,571.5681 ± 12.3042,16.6085 ± 1.3244,50.1380 ± 11.4466,45.6310 ± 8.7865,0.6328 ± 0.0764,0.2455 ± 0.1056,0.1442 ± 0.0761,-14720.7659 ± 620.9628,-14537.8832 ± 565.0965,-14788.0704 ± 672.7489,-14601.5830 ± 607.3964,140.6613 ± 56.2150,83.2595 ± 13.4134,85.7424 ± 15.4700,0.9000 ± 0.0000,0.0001 ± 0.0000,13663.8425 ± 662.3756,-13514.0625 ± 606.7325
23000,597.3004 ± 13.5961,5.0385 ± 0.3584,51.0060 ± 8.8107,46.3220 ± 8.3429,0.6114 ± 0.0671,0.2390 ± 0.0963,0.1332 ± 0.0601,-14848.6432 ± 317.2277,-14530.2459 ± 336.5883,-14904.9112 ± 357.9481,-14590.8079 ± 374.8585,119.1421 ± 34.6630,76.7561 ± 14.5689,81.7147 ± 15.2834,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,611.8321 ± 13.9623,16.6483 ± 1.1516,52.3230 ± 7.8984,46.2270 ± 6.8600,0.5962 ± 0.0665,0.2238 ± 0.0838,0.1244 ± 0.0724,-14773.6993 ± 349.4057,-14563.8342 ± 375.3498,-14805.9674 ± 384.7743,-14598.4845 ± 401.7084,133.3443 ± 39.8704,72.3518 ± 13.7845,78.5996 ± 16.1719,0.9000 ± 0.0000,0.0001 ± 0.0000,13672.8331 ± 532.9151,-13520.9992 ± 493.4121
25000,637.8937 ± 15.2903,5.0777 ± 0.3039,51.0260 ± 5.0503,44.6260 ± 7.3744,0.6073 ± 0.0397,0.2133 ± 0.0719,0.1235 ± 0.0591,-14702.9180 ± 320.0002,-14476.6249 ± 227.9968,-14744.1753 ± 355.0966,-14505.8210 ± 251.0103,123.8301 ± 55.0660,68.6759 ± 15.9369,72.7018 ± 19.1398,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,652.5209 ± 15.9382,16.2456 ± 1.4008,49.1060 ± 7.7254,43.4550 ± 8.7249,0.6108 ± 0.0511,0.2315 ± 0.0818,0.1266 ± 0.0520,-14517.4867 ± 239.5044,-14342.3616 ± 246.0379,-14563.4210 ± 285.9446,-14377.7102 ± 282.2467,114.5761 ± 47.0534,64.3100 ± 14.3875,69.6228 ± 19.0784,0.9000 ± 0.0000,0.0001 ± 0.0000,13470.9693 ± 477.2644,-13335.0926 ± 476.6806
27000,677.9568 ± 17.2342,4.9465 ± 0.3605,46.3250 ± 6.6039,42.5350 ± 8.8032,0.6195 ± 0.0347,0.2422 ± 0.0672,0.1263 ± 0.0301,-14493.2688 ± 383.7501,-14315.0224 ± 390.5708,-14515.9622 ± 413.1339,-14333.4413 ± 430.8280,103.2734 ± 50.0620,59.6406 ± 14.4695,61.7143 ± 14.3588,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,692.3469 ± 17.7184,16.1110 ± 1.5857,47.1660 ± 8.3299,42.6320 ± 9.8861,0.6052 ± 0.0653,0.2409 ± 0.0616,0.1232 ± 0.0417,-14528.7062 ± 365.8382,-14407.7922 ± 275.2876,-14555.8425 ± 409.4454,-14430.9709 ± 320.6466,102.0610 ± 39.1184,58.5959 ± 14.7643,64.5033 ± 18.7883,0.9000 ± 0.0000,0.0001 ± 0.0000,13457.7929 ± 588.4300,-13369.7982 ± 492.7760
