iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
18000,525.0402 ± 11.3576,18.9998 ± 0.9046,62.3140 ± 6.5503,62.5930 ± 6.7773,0.6650 ± 0.0602,0.2807 ± 0.0872,0.1505 ± 0.0548,-14994.7421 ± 395.3674,-14602.6448 ± 329.5509,-14713.0535 ± 237.2036,-14403.9351 ± 215.7878,187.8051 ± 26.0802,108.1523 ± 4.6055,116.7646 ± 3.1990,0.8100 ± 0.0000,0.0001 ± 0.0000,12998.8934 ± 239.9736,-12843.5330 ± 208.8785
19000,554.0213 ± 12.4186,5.5631 ± 0.2295,58.2720 ± 13.4374,59.6930 ± 7.4620,0.6749 ± 0.1135,0.3037 ± 0.1423,0.1931 ± 0.1270,-14795.3825 ± 563.0596,-14358.3320 ± 614.5310,-14632.7603 ± 553.4642,-14290.4991 ± 588.2445,167.9857 ± 26.1650,105.2622 ± 5.4866,110.5112 ± 6.7277,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,569.7015 ± 12.8483,18.0389 ± 1.2390,55.2400 ± 11.8229,55.9610 ± 9.4067,0.6517 ± 0.0855,0.2809 ± 0.0714,0.1706 ± 0.0589,-14567.9265 ± 491.0184,-14231.9400 ± 532.8782,-14474.8938 ± 469.5779,-14124.7300 ± 512.4503,150.8104 ± 40.8414,95.1207 ± 2.6346,97.9958 ± 7.1301,0.9000 ± 0.0000,0.0001 ± 0.0000,13008.1089 ± 272.5904,-12752.4113 ± 304.3764
21000,597.0492 ± 13.6682,5.3464 ± 0.2866,53.7020 ± 11.3828,53.6810 ± 7.6641,0.6460 ± 0.0771,0.2884 ± 0.0893,0.1556 ± 0.0650,-14369.8172 ± 459.5087,-14165.8530 ± 416.2515,-14314.0031 ± 399.0077,-14125.8045 ± 351.2897,128.3718 ± 35.3974,88.1090 ± 4.2632,91.4285 ± 6.6579,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,612.3330 ± 14.0030,17.7880 ± 1.3074,51.5630 ± 14.3782,53.8080 ± 10.3198,0.6683 ± 0.0820,0.3074 ± 0.0886,0.1710 ± 0.0620,-14266.5748 ± 550.6057,-14002.1755 ± 398.0878,-14222.9185 ± 485.7132,-13990.2293 ± 360.2985,135.4819 ± 20.2722,82.1064 ± 7.1136,85.5495 ± 10.0798,0.9000 ± 0.0000,0.0001 ± 0.0000,12852.5223 ± 244.1102,-12728.6115 ± 196.1717
23000,639.6025 ± 15.0900,5.2938 ± 0.3169,50.0590 ± 10.3971,52.6690 ± 7.4316,0.6678 ± 0.0629,0.3217 ± 0.0900,0.1845 ± 0.0781,-14186.4757 ± 371.8681,-14049.3500 ± 389.7565,-14167.6876 ± 331.2001,-14039.0722 ± 357.1371,123.3816 ± 18.3589,76.1276 ± 7.0717,82.4639 ± 11.8655,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,654.5186 ± 15.5184,17.2121 ± 1.0401,48.5720 ± 10.7770,50.1860 ± 8.2387,0.6828 ± 0.0537,0.3292 ± 0.0763,0.1809 ± 0.0686,-14048.3533 ± 403.1122,-13895.8001 ± 407.7271,-14047.1045 ± 349.8464,-13898.4064 ± 345.4172,102.3532 ± 14.2525,69.5181 ± 7.5784,69.8193 ± 7.9161,0.9000 ± 0.0000,0.0001 ± 0.0000,12804.1649 ± 202.1916,-12696.7429 ± 204.6600
25000,681.2657 ± 16.5323,5.1780 ± 0.2816,48.4060 ± 10.5534,51.3460 ± 7.8266,0.6860 ± 0.0645,0.3268 ± 0.1068,0.1924 ± 0.0728,-14084.6099 ± 450.3344,-13893.7328 ± 412.4049,-14056.9984 ± 386.0805,-13890.3449 ± 387.6853,96.4746 ± 10.9124,66.2077 ± 5.6203,74.7048 ± 6.6149,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,696.1717 ± 17.0145,17.0541 ± 1.3063,48.4290 ± 14.7798,50.0540 ± 9.8619,0.6675 ± 0.0723,0.3394 ± 0.1188,0.1881 ± 0.0912,-14026.1502 ± 568.0273,-13895.9272 ± 481.1388,-14026.3671 ± 536.9709,-13891.6146 ± 432.8779,103.0087 ± 20.6003,57.7782 ± 5.3849,61.9198 ± 8.8777,0.9000 ± 0.0000,0.0001 ± 0.0000,12816.9416 ± 330.7643,-12752.8523 ± 295.0191
27000,722.4615 ± 18.2997,5.1762 ± 0.3242,48.6170 ± 12.5388,50.5460 ± 8.9240,0.6734 ± 0.0741,0.3453 ± 0.1105,0.1915 ± 0.1048,-14010.3513 ± 433.7286,-13881.5976 ± 467.5469,-13991.8776 ± 408.7137,-13851.6528 ± 439.3534,95.1508 ± 10.4038,54.6013 ± 5.4973,56.9507 ± 5.5653,0.9000 ± 0.0000,0.0001 ± 0.0000,,
