iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
30000,692.7352 ± 8.1161,15.3009 ± 1.2029,17.4780 ± 4.7491,28.5160 ± 5.4522,0.7557 ± 0.0975,0.5562 ± 0.1265,0.3628 ± 0.1499,-75878.2650 ± 3093.0417,-74921.5916 ± 1787.5143,-74112.7501 ± 1417.7419,-73713.9543 ± 869.4329,621.4013 ± 123.6873,347.5830 ± 66.4918,369.0994 ± 73.4478,0.9000 ± 0.0000,0.0001 ± 0.0000,71970.7652 ± 103.0115,-71943.0361 ± 108.6535
31000,715.6871 ± 8.3628,5.4784 ± 0.2865,17.4130 ± 2.3480,27.9480 ± 3.2244,0.7575 ± 0.0715,0.5568 ± 0.0771,0.3485 ± 0.0781,-75194.3224 ± 836.1127,-74909.7258 ± 1025.2018,-74140.6535 ± 704.4162,-73989.9025 ± 852.2478,679.8985 ± 248.2004,326.2099 ± 37.2556,368.7096 ± 73.9284,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,729.5171 ± 8.3960,15.9240 ± 0.7734,20.3190 ± 4.8033,30.3340 ± 3.0082,0.7408 ± 0.0753,0.5250 ± 0.1060,0.3139 ± 0.0655,-76279.1361 ± 1689.5975,-75356.0541 ± 1076.2983,-74899.0208 ± 1269.4858,-74167.5934 ± 434.2889,542.8001 ± 91.3151,318.4137 ± 44.4058,325.9448 ± 45.0709,0.9000 ± 0.0000,0.0001 ± 0.0000,72568.5771 ± 1195.2124,-72075.8265 ± 249.5913
33000,753.0384 ± 8.7351,5.6221 ± 0.2616,16.7810 ± 2.4922,28.7400 ± 3.1564,0.7930 ± 0.0456,0.5979 ± 0.0518,0.3941 ± 0.0596,-75352.6579 ± 1366.1776,-74690.2746 ± 738.3334,-74071.6203 ± 603.8405,-73694.9131 ± 352.3915,524.2735 ± 117.7920,297.4608 ± 44.1171,336.6793 ± 52.4918,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,766.7145 ± 8.7043,15.3890 ± 0.4995,16.5320 ± 3.5031,28.5180 ± 2.2993,0.8021 ± 0.0802,0.6091 ± 0.0874,0.4156 ± 0.1157,-75294.7876 ± 1702.2370,-74882.3586 ± 1627.1313,-74212.9898 ± 1290.7854,-74070.9687 ± 1343.6953,503.3401 ± 103.1267,279.1788 ± 31.3546,287.3204 ± 36.3367,0.9000 ± 0.0000,0.0001 ± 0.0000,72339.1773 ± 910.5099,-72329.0869 ± 916.3337
35000,790.0238 ± 8.5601,5.5174 ± 0.1834,16.5790 ± 2.6386,27.9990 ± 2.3144,0.7904 ± 0.0560,0.5962 ± 0.0748,0.3930 ± 0.0873,-74976.6336 ± 1152.7778,-74599.5596 ± 1078.9421,-74125.8001 ± 1048.2315,-73909.2477 ± 1016.5850,461.9988 ± 135.4829,261.0512 ± 31.8083,277.8711 ± 45.5274,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,803.7011 ± 8.6399,14.9616 ± 0.3898,15.8320 ± 2.6325,26.8050 ± 1.8850,0.7643 ± 0.0670,0.5693 ± 0.0933,0.3518 ± 0.0642,-74509.6760 ± 1130.4101,-74285.1002 ± 699.1381,-73875.0783 ± 1014.7711,-73717.5115 ± 728.1518,434.6859 ± 128.5965,239.5038 ± 33.0649,264.1007 ± 50.3178,0.9000 ± 0.0000,0.0001 ± 0.0000,72353.2726 ± 936.8914,-72331.6106 ± 891.4238
37000,826.4005 ± 8.6370,5.3655 ± 0.2393,13.3480 ± 2.7773,26.0250 ± 3.1160,0.8340 ± 0.0555,0.6629 ± 0.0869,0.4815 ± 0.1273,-74497.3679 ± 1179.8958,-74271.7237 ± 1342.5356,-73772.6989 ± 977.9740,-73619.9719 ± 1084.6745,419.1907 ± 137.7524,236.2760 ± 25.6692,235.3323 ± 38.1289,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,839.8965 ± 8.7256,14.6134 ± 0.3873,13.1360 ± 3.0665,25.0400 ± 1.8264,0.8070 ± 0.0548,0.6373 ± 0.0855,0.4393 ± 0.1051,-73939.7984 ± 1039.0383,-73854.7589 ± 1033.5484,-73482.5382 ± 1013.5089,-73404.6201 ± 1006.6993,376.9926 ± 146.1083,218.9173 ± 29.1323,237.7358 ± 30.3280,0.9000 ± 0.0000,0.0001 ± 0.0000,72272.0311 ± 902.0138,-72267.4965 ± 899.5940
39000,862.1631 ± 8.8905,5.2690 ± 0.1548,13.0810 ± 2.8438,24.8830 ± 1.8831,0.8110 ± 0.0712,0.6359 ± 0.0881,0.4368 ± 0.1228,-73981.7646 ± 880.3146,-73869.8883 ± 951.7015,-73498.9619 ± 883.9652,-73403.1892 ± 942.2312,393.8024 ± 125.1833,218.8130 ± 22.9893,239.5972 ± 28.2171,0.9000 ± 0.0000,0.0001 ± 0.0000,,
