iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
5000,213.9043 ± 1.7402,7.5527 ± 0.1945,39.4010 ± 1.6845,48.3510 ± 0.4669,0.6954 ± 0.0879,0.2851 ± 0.1037,0.2980 ± 0.1097,-153392.2849 ± 5004.2584,-146397.0711 ± 9214.5296,-88551.6604 ± 1309.5807,-85590.7511 ± 661.5481,2980.5272 ± 89.0602,1558.9956 ± 64.7680,1675.1565 ± 61.4279,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,233.5100 ± 1.8306,20.0278 ± 0.5281,38.9280 ± 1.4645,47.6500 ± 1.0473,0.6655 ± 0.0682,0.3067 ± 0.0741,0.2797 ± 0.0925,-144287.3746 ± 12563.0442,-121362.3922 ± 26327.9977,-87702.9096 ± 1308.5405,-83457.2335 ± 3213.9639,3010.7311 ± 218.3107,1495.2214 ± 72.4961,1631.3811 ± 89.8472,0.2700 ± 0.0000,0.0001 ± 0.0000,74604.7624 ± 820.8961,-73241.8900 ± 293.4801
7000,264.5079 ± 2.4964,7.0148 ± 0.3484,33.9010 ± 3.2831,44.4810 ± 3.0257,0.7421 ± 0.0783,0.4604 ± 0.1181,0.3902 ± 0.0995,-114840.6168 ± 24831.8471,-101272.2246 ± 19360.1888,-83335.2327 ± 3278.3564,-79939.0921 ± 2204.4109,3116.5981 ± 133.9254,1440.8179 ± 68.3638,1579.0410 ± 63.1066,0.3150 ± 0.0000,0.0001 ± 0.0000,,
8000,281.9652 ± 3.1165,18.0241 ± 0.7465,31.5970 ± 1.7426,40.3580 ± 2.4504,0.6937 ± 0.0765,0.3704 ± 0.1312,0.3029 ± 0.1158,-90474.4377 ± 7853.6991,-84365.2516 ± 3567.8061,-79736.3732 ± 1841.9720,-77398.4631 ± 970.2876,3100.2321 ± 184.5320,1367.4563 ± 91.6608,1502.8275 ± 66.8880,0.3600 ± 0.0000,0.0001 ± 0.0000,73228.6260 ± 746.9905,-72217.2692 ± 128.5706
9000,310.2389 ± 4.0432,6.4613 ± 0.4636,31.3630 ± 3.9681,39.2210 ± 4.2883,0.7024 ± 0.0743,0.3776 ± 0.1490,0.2605 ± 0.0744,-90302.9260 ± 10833.4241,-85081.8401 ± 5703.7260,-80188.2508 ± 2486.1766,-78621.7264 ± 1804.2427,3046.5545 ± 238.4575,1278.7058 ± 93.5995,1442.5677 ± 94.7645,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,326.6287 ± 4.6335,17.3399 ± 0.9815,30.5810 ± 5.2085,37.5930 ± 3.6822,0.6525 ± 0.0554,0.2756 ± 0.1026,0.2211 ± 0.0332,-85281.1909 ± 6198.9083,-81122.5493 ± 2343.9839,-78673.8560 ± 1962.0969,-77110.9632 ± 1004.3650,3127.4611 ± 359.8535,1199.1800 ± 74.9461,1366.7971 ± 41.5832,0.4500 ± 0.0000,0.0001 ± 0.0000,73593.0995 ± 1599.4774,-73084.9758 ± 1309.0398
11000,353.1136 ± 5.3382,6.0757 ± 0.1602,26.7570 ± 4.0745,34.8240 ± 1.6940,0.7202 ± 0.0579,0.4187 ± 0.1053,0.2902 ± 0.0477,-79772.5510 ± 2707.9729,-78603.5114 ± 2228.8718,-77035.1143 ± 1567.4227,-75919.3264 ± 1345.7800,2873.2676 ± 97.8785,1126.4015 ± 49.6611,1250.2481 ± 54.4724,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,368.2912 ± 5.5342,16.2969 ± 0.3854,22.3020 ± 1.9207,32.7570 ± 0.9448,0.7437 ± 0.0268,0.4913 ± 0.0288,0.3273 ± 0.0562,-77611.8326 ± 1205.1985,-76684.6645 ± 586.3893,-75795.8146 ± 939.6400,-74910.6912 ± 618.4652,2821.8736 ± 144.3439,1070.2976 ± 40.4131,1222.8954 ± 41.3294,0.5400 ± 0.0000,0.0001 ± 0.0000,73020.2664 ± 849.2169,-72322.0767 ± 710.6675
13000,393.4364 ± 5.9985,5.7552 ± 0.1506,20.8510 ± 2.1737,31.2400 ± 1.8370,0.7450 ± 0.0359,0.4681 ± 0.0666,0.3037 ± 0.0412,-76770.6396 ± 1390.5823,-76106.9947 ± 1244.3183,-75182.0678 ± 990.9523,-74712.2524 ± 949.8834,2731.5082 ± 181.3012,1019.6205 ± 46.1459,1169.2067 ± 42.4336,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,408.0085 ± 6.1809,15.7823 ± 0.1764,18.7690 ± 2.3274,29.6590 ± 0.7895,0.7919 ± 0.0495,0.5648 ± 0.0516,0.3864 ± 0.0808,-76439.8981 ± 896.6929,-75505.4773 ± 908.8586,-75010.8825 ± 847.3736,-74226.1778 ± 786.9714,2508.0597 ± 312.2718,962.6541 ± 42.9294,1101.0094 ± 27.0864,0.6300 ± 0.0000,0.0001 ± 0.0000,72977.4116 ± 806.3230,-72300.4695 ± 773.6737
15000,432.8517 ± 6.5000,5.5503 ± 0.1613,18.1310 ± 2.2720,28.7320 ± 1.5880,0.7730 ± 0.0634,0.5599 ± 0.0864,0.3620 ± 0.0937,-75944.7722 ± 1028.9504,-75413.9048 ± 815.1373,-74885.4612 ± 930.6945,-74306.9070 ± 750.8024,2417.5517 ± 349.0855,940.3500 ± 54.2709,1061.9356 ± 55.7191,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,447.2985 ± 6.6931,15.3080 ± 0.1322,17.0700 ± 0.5453,28.3070 ± 0.6614,0.8025 ± 0.0509,0.6034 ± 0.0593,0.4147 ± 0.1019,-75760.5769 ± 952.2237,-75101.7954 ± 810.3171,-74848.0671 ± 917.4368,-74134.7880 ± 861.5963,2103.5352 ± 197.9980,890.6497 ± 56.9044,986.0314 ± 50.8374,0.7200 ± 0.0000,0.0001 ± 0.0000,73112.0357 ± 897.4434,-72394.4321 ± 893.1356
17000,471.4568 ± 6.9659,5.4618 ± 0.0783,16.6540 ± 2.2669,27.5110 ± 1.0300,0.8199 ± 0.0469,0.5761 ± 0.0465,0.4070 ± 0.0635,-75423.9662 ± 727.1169,-74964.9065 ± 816.9179,-74564.6342 ± 779.4577,-74155.3252 ± 839.9188,1862.2939 ± 461.6927,843.5882 ± 64.5203,939.3495 ± 46.9975,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,486.0333 ± 7.1918,15.5198 ± 0.2314,18.7840 ± 3.1489,29.1640 ± 1.1305,0.7999 ± 0.0685,0.5755 ± 0.1058,0.3973 ± 0.1130,-75947.0879 ± 1303.7097,-75082.0218 ± 1046.6577,-74951.7858 ± 1149.3102,-74118.3263 ± 940.9845,1591.7115 ± 74.5596,792.0620 ± 59.2670,866.3839 ± 46.0458,0.8100 ± 0.0000,0.0001 ± 0.0000,72965.2874 ± 955.6421,-72257.8689 ± 542.0329
19000,510.4508 ± 7.5767,5.5581 ± 0.2311,19.8440 ± 4.4773,28.5690 ± 2.3686,0.7478 ± 0.0696,0.4779 ± 0.0958,0.3238 ± 0.1005,-75682.1262 ± 1128.5740,-75285.0528 ± 1037.8740,-74681.1089 ± 1003.0195,-74345.2344 ± 976.5584,1635.9331 ± 259.3300,723.1457 ± 42.1816,804.9880 ± 51.5591,0.8550 ± 0.0000,0.0001 ± 0.0000,,
