iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
18000,778.9347 ± 6.9601,36.3364 ± 1.3125,151.7850 ± 7.4395,118.7440 ± 8.8705,0.5018 ± 0.0326,0.0450 ± 0.0057,0.0369 ± 0.0031,-17386.5431 ± 620.9493,-16608.7787 ± 380.6599,-14940.1053 ± 431.6867,-14516.8170 ± 342.2191,102.5495 ± 10.5846,110.5298 ± 2.3392,107.0905 ± 3.1323,0.8100 ± 0.0000,0.0001 ± 0.0000,13239.0126 ± 317.2794,-12873.4116 ± 288.0414
19000,830.1272 ± 7.1385,11.8080 ± 1.1474,160.1520 ± 14.3944,130.4890 ± 18.7401,0.4993 ± 0.0316,0.0476 ± 0.0138,0.0397 ± 0.0086,-18498.8473 ± 1868.9148,-16914.0593 ± 929.1386,-15042.5509 ± 633.8966,-14523.1889 ± 477.4554,118.1571 ± 31.0669,108.7814 ± 1.3966,105.8761 ± 3.7277,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,856.6390 ± 7.0899,37.9222 ± 2.1587,160.8260 ± 15.0073,130.7550 ± 17.2640,0.4948 ± 0.0268,0.0521 ± 0.0112,0.0382 ± 0.0058,-18090.3134 ± 1688.4979,-16837.6881 ± 1187.5461,-14904.3920 ± 578.7473,-14401.9991 ± 439.8422,88.7407 ± 16.9623,102.0365 ± 2.5467,96.1888 ± 1.9223,0.9000 ± 0.0000,0.0001 ± 0.0000,13056.2514 ± 364.1994,-12668.2305 ± 255.3273
21000,909.0019 ± 7.9460,11.7371 ± 0.3941,166.1930 ± 6.6453,135.1700 ± 6.7683,0.4858 ± 0.0222,0.0516 ± 0.0081,0.0355 ± 0.0013,-18138.1380 ± 976.8180,-16878.3751 ± 554.1312,-14860.1378 ± 228.0216,-14471.4219 ± 204.2399,95.5752 ± 13.4385,97.0325 ± 4.5038,97.5004 ± 4.3508,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,934.6297 ± 8.2129,38.4428 ± 1.6211,165.3380 ± 10.9869,135.2450 ± 11.3889,0.5070 ± 0.0327,0.0521 ± 0.0076,0.0362 ± 0.0040,-18054.0322 ± 1208.0674,-17052.9178 ± 703.9889,-14766.8558 ± 405.5369,-14374.6990 ± 362.7999,103.9442 ± 17.7973,94.0900 ± 3.3514,91.9787 ± 4.4253,0.9000 ± 0.0000,0.0001 ± 0.0000,12928.1770 ± 299.1456,-12636.6967 ± 293.4923
23000,988.4342 ± 11.9726,11.8466 ± 0.2814,164.7980 ± 5.5801,134.1040 ± 6.4510,0.4987 ± 0.0238,0.0599 ± 0.0150,0.0360 ± 0.0032,-17725.8447 ± 790.2607,-16858.5274 ± 564.9776,-14612.0515 ± 303.1479,-14289.6442 ± 247.5165,87.1988 ± 9.3412,89.9969 ± 4.6875,88.3548 ± 3.6735,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,1015.9987 ± 14.8021,38.8770 ± 1.7959,168.4540 ± 13.3450,137.7050 ± 12.5005,0.4955 ± 0.0272,0.0506 ± 0.0131,0.0350 ± 0.0033,-18034.6164 ± 1236.2000,-17034.6509 ± 795.3066,-14559.7465 ± 389.8297,-14222.2231 ± 268.6647,80.9204 ± 3.9627,85.4564 ± 4.2225,83.7216 ± 6.0484,0.9000 ± 0.0000,0.0001 ± 0.0000,12789.8633 ± 269.0401,-12527.7540 ± 175.5099
25000,1071.7870 ± 15.5844,11.9384 ± 0.4466,162.8010 ± 5.6332,133.1240 ± 6.2610,0.4959 ± 0.0306,0.0465 ± 0.0114,0.0354 ± 0.0022,-17375.0636 ± 548.6371,-16599.5647 ± 314.7371,-14340.9100 ± 255.5717,-14053.1678 ± 229.1327,82.2592 ± 22.7532,83.1296 ± 6.0021,82.6595 ± 9.7181,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,1100.4962 ± 15.2908,38.6664 ± 1.3236,166.8620 ± 6.1360,137.6410 ± 5.3031,0.5147 ± 0.0386,0.0537 ± 0.0164,0.0364 ± 0.0048,-17889.1140 ± 704.8092,-16924.8923 ± 348.1771,-14551.1690 ± 423.0978,-14181.5336 ± 342.1397,73.1094 ± 15.6638,78.7499 ± 4.1886,76.6263 ± 3.3922,0.9000 ± 0.0000,0.0001 ± 0.0000,12830.0583 ± 352.8736,-12526.3506 ± 341.4640
27000,1155.8522 ± 14.4602,11.6216 ± 0.2390,163.5360 ± 0.7776,132.8720 ± 2.6080,0.5030 ± 0.0339,0.0520 ± 0.0156,0.0360 ± 0.0037,-17467.8487 ± 580.5283,-16802.2238 ± 556.0719,-14353.0929 ± 466.4072,-14041.5290 ± 456.0299,78.8468 ± 9.8030,76.4416 ± 4.8454,77.1253 ± 7.0833,0.9000 ± 0.0000,0.0001 ± 0.0000,,
