iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
20000,977.4647 ± 54.0729,41.2498 ± 5.9496,179.4160 ± 35.8266,150.6560 ± 40.0008,0.4941 ± 0.0202,0.0564 ± 0.0147,0.0352 ± 0.0023,-29284.3767 ± 18204.0498,-20495.7061 ± 4854.8903,-15304.4166 ± 1048.1289,-14808.0250 ± 973.7955,198.5897 ± 30.4854,106.6730 ± 7.3643,113.4669 ± 3.0679,0.9000 ± 0.0000,0.0001 ± 0.0000,13178.8237 ± 419.6691,-12841.0755 ± 358.6922
21000,1033.4820 ± 60.1512,12.7455 ± 2.0144,176.8970 ± 31.9263,149.0070 ± 37.4343,0.4889 ± 0.0233,0.0604 ± 0.0106,0.0367 ± 0.0040,-22846.1318 ± 8160.6212,-18882.0784 ± 3603.0014,-15128.1270 ± 1182.4939,-14621.3906 ± 958.9515,203.0669 ± 31.6106,105.4339 ± 9.2480,111.6807 ± 10.0411,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,1061.9661 ± 60.7910,40.8365 ± 4.5815,176.8020 ± 28.6763,149.5110 ± 33.2724,0.5029 ± 0.0294,0.0716 ± 0.0230,0.0383 ± 0.0058,-20934.2886 ± 4889.7462,-19254.7690 ± 3911.2826,-15158.6546 ± 1221.1296,-14772.3559 ± 1089.1777,174.0106 ± 29.8409,99.9770 ± 9.6785,107.5809 ± 6.6081,0.9000 ± 0.0000,0.0001 ± 0.0000,13087.6230 ± 628.8860,-12820.8084 ± 541.0126
23000,1117.3098 ± 65.6841,12.4169 ± 1.2946,176.1750 ± 22.5901,149.6450 ± 27.8348,0.5034 ± 0.0257,0.0702 ± 0.0249,0.0392 ± 0.0089,-20153.8210 ± 3899.6131,-18641.1919 ± 3661.6025,-14933.8151 ± 1008.6191,-14372.9696 ± 937.3137,158.8901 ± 52.8791,91.7410 ± 10.0880,95.4641 ± 13.2147,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,1145.3440 ± 66.3886,40.5435 ± 3.5120,173.9100 ± 21.5060,148.1580 ± 24.0689,0.5087 ± 0.0432,0.0801 ± 0.0155,0.0403 ± 0.0078,-19564.0537 ± 3242.0207,-18306.9641 ± 2866.7081,-14944.6782 ± 969.0889,-14460.8517 ± 784.8725,177.5504 ± 102.0856,91.5122 ± 5.9639,103.0374 ± 18.6604,0.9000 ± 0.0000,0.0001 ± 0.0000,12961.6646 ± 578.3382,-12616.3565 ± 363.0278
25000,1200.1760 ± 70.1841,11.7004 ± 1.3199,168.0170 ± 29.8306,140.3840 ± 34.2397,0.4998 ± 0.0212,0.0725 ± 0.0164,0.0365 ± 0.0021,-18670.9407 ± 3496.0013,-17901.6515 ± 3106.7910,-14790.9781 ± 1166.3641,-14443.2390 ± 1014.3327,166.3797 ± 82.4439,83.5203 ± 8.3395,93.9110 ± 15.7659,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,1226.1016 ± 72.0758,38.6459 ± 4.1071,165.0780 ± 28.1596,136.5420 ± 30.8705,0.5034 ± 0.0300,0.0775 ± 0.0196,0.0372 ± 0.0031,-18086.0023 ± 3199.8828,-17352.8579 ± 2858.1949,-14547.6928 ± 1060.9064,-14186.0784 ± 915.0108,138.3085 ± 64.0606,82.6918 ± 10.8480,84.6100 ± 15.4848,0.9000 ± 0.0000,0.0001 ± 0.0000,12847.4273 ± 578.0122,-12555.1506 ± 453.1102
27000,1278.2670 ± 76.8598,11.4344 ± 1.0833,162.3590 ± 25.4890,133.4110 ± 29.3129,0.4950 ± 0.0169,0.0723 ± 0.0236,0.0374 ± 0.0031,-17560.3842 ± 2812.8117,-16957.4680 ± 2590.6966,-14467.7190 ± 1116.9698,-14102.0815 ± 1077.8193,123.6947 ± 42.9654,77.1610 ± 11.3223,79.6260 ± 11.1250,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,1304.0036 ± 78.4665,38.0490 ± 3.6078,159.8020 ± 25.0788,131.1140 ± 26.3806,0.5068 ± 0.0294,0.0720 ± 0.0179,0.0370 ± 0.0020,-17220.4250 ± 2335.8506,-16664.7911 ± 2176.8086,-14269.9358 ± 1004.0063,-13955.0563 ± 921.6766,105.5821 ± 38.5411,71.9151 ± 9.2362,75.1063 ± 14.5136,0.9000 ± 0.0000,0.0001 ± 0.0000,12711.4644 ± 626.7831,-12452.4384 ± 556.3544
29000,1356.1315 ± 82.4362,11.2468 ± 0.7309,158.6800 ± 19.0867,131.3120 ± 20.0143,0.5114 ± 0.0216,0.0746 ± 0.0188,0.0369 ± 0.0018,-16940.4372 ± 1969.9807,-16492.6994 ± 1924.7323,-14258.1579 ± 940.1355,-13980.1148 ± 930.8897,106.2941 ± 31.2943,68.8039 ± 9.5445,71.0346 ± 16.3542,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,1381.8993 ± 83.6924,37.4602 ± 2.4687,156.5090 ± 19.9123,128.9420 ± 20.5298,0.5199 ± 0.0242,0.0744 ± 0.0169,0.0382 ± 0.0035,-16645.5450 ± 1979.7696,-16212.2592 ± 1914.0166,-14117.6602 ± 982.0566,-13864.2299 ± 934.1087,92.0887 ± 19.3907,68.3768 ± 8.8928,62.4153 ± 7.8970,0.9000 ± 0.0000,0.0001 ± 0.0000,12637.1012 ± 640.9461,-12452.9325 ± 616.4168
31000,1433.2408 ± 86.6877,11.0233 ± 0.9001,154.1220 ± 21.1901,124.4020 ± 22.2674,0.5050 ± 0.0182,0.0696 ± 0.0127,0.0368 ± 0.0020,-16302.9739 ± 1909.2307,-15932.4858 ± 1835.1426,-14015.1309 ± 988.0522,-13765.9425 ± 935.6900,87.6062 ± 17.2910,64.1632 ± 7.1075,63.9917 ± 11.2337,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,1458.3441 ± 87.8972,36.8214 ± 2.7395,153.1290 ± 18.8711,123.0830 ± 19.2713,0.5192 ± 0.0210,0.0722 ± 0.0128,0.0370 ± 0.0024,-16034.1346 ± 1704.0597,-15707.0203 ± 1614.1930,-13834.3678 ± 907.9748,-13628.0090 ± 871.4073,82.1341 ± 9.8546,57.6905 ± 5.9252,62.0143 ± 12.5799,0.9000 ± 0.0000,0.0001 ± 0.0000,12473.8761 ± 604.0569,-12296.6926 ± 595.0330
33000,1508.6834 ± 90.8016,10.7236 ± 0.7341,148.7490 ± 17.7557,118.4710 ± 17.3108,0.5266 ± 0.0230,0.0721 ± 0.0198,0.0376 ± 0.0039,-15680.1032 ± 1491.0515,-15361.2806 ± 1359.6724,-13765.3315 ± 883.7333,-13600.3425 ± 844.6982,80.3086 ± 8.5382,59.4029 ± 9.1059,68.8870 ± 20.2719,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,1533.2036 ± 92.2744,35.9688 ± 2.5191,148.0440 ± 19.1717,118.0220 ± 19.6775,0.5146 ± 0.0181,0.0716 ± 0.0181,0.0368 ± 0.0028,-15621.8782 ± 1565.4612,-15379.0282 ± 1522.0857,-13745.2221 ± 862.7890,-13602.9767 ± 859.3390,76.6064 ± 12.7544,53.4815 ± 4.7533,57.3234 ± 11.1971,0.9000 ± 0.0000,0.0001 ± 0.0000,12464.6772 ± 589.1562,-12351.8724 ± 594.4307
35000,1582.9696 ± 95.5402,10.5340 ± 0.7247,148.9540 ± 19.2867,117.7580 ± 19.6943,0.5197 ± 0.0228,0.0774 ± 0.0151,0.0372 ± 0.0030,-15617.4885 ± 1627.0799,-15420.2681 ± 1561.7037,-13727.1458 ± 903.1866,-13580.6617 ± 859.5969,70.8396 ± 13.2124,53.6263 ± 8.2067,55.5071 ± 8.4645,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,1607.5406 ± 97.2093,35.6308 ± 2.5261,146.2430 ± 17.1714,114.5950 ± 17.8570,0.4980 ± 0.0148,0.0653 ± 0.0231,0.0356 ± 0.0023,-15420.3497 ± 1189.9267,-15277.9610 ± 1181.8512,-13639.1043 ± 672.3897,-13513.8425 ± 660.5057,71.8538 ± 8.7380,52.0544 ± 4.5093,50.5162 ± 10.3711,0.9000 ± 0.0000,0.0001 ± 0.0000,12409.6679 ± 427.1359,-12314.2155 ± 430.0840
37000,1656.6879 ± 100.4497,10.4073 ± 0.5978,145.3460 ± 16.4675,114.2670 ± 17.1809,0.5152 ± 0.0217,0.0737 ± 0.0121,0.0369 ± 0.0031,-15334.1881 ± 1320.1719,-15113.9101 ± 1291.6690,-13664.3002 ± 776.6096,-13466.8411 ± 765.9355,72.1852 ± 13.5229,47.6346 ± 3.5607,49.2562 ± 6.8608,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,1680.5464 ± 101.4764,35.1642 ± 2.3279,143.5330 ± 16.6412,112.7730 ± 17.6065,0.5089 ± 0.0258,0.0770 ± 0.0207,0.0371 ± 0.0031,-15206.0027 ± 1262.5781,-15014.8482 ± 1219.8526,-13545.2381 ± 734.4403,-13411.5264 ± 718.9658,70.8867 ± 15.1979,50.7981 ± 3.6606,53.4751 ± 8.4467,0.9000 ± 0.0000,0.0001 ± 0.0000,12379.3146 ± 515.9387,-12279.0696 ± 528.2428
39000,1728.4162 ± 102.9244,9.3795 ± 1.8464,127.2700 ± 26.6874,93.6880 ± 29.3657,0.5218 ± 0.0262,0.0702 ± 0.0235,0.0372 ± 0.0031,-15559.7064 ± 2293.3339,-14856.5724 ± 1150.8907,-14270.7517 ± 2475.7633,-13342.1651 ± 696.1044,75.6434 ± 14.5220,44.3012 ± 3.5636,49.5796 ± 7.3411,0.9000 ± 0.0000,0.0001 ± 0.0000,,
