episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
310,62.41290322580645,41.87741935483871,23.0,-53517.96653067528,-53391.202004424646,-53039.444007989725,-52905.2908226241
320,62.390625,41.753125,23.0,-53519.74386601243,-53391.202004424646,-53039.53779843346,-52905.2908226241
330,62.403030303030306,41.74848484848485,23.0,-53521.34815431505,-53391.202004424646,-53039.99784037891,-52905.2908226241
340,62.38823529411765,41.72352941176471,23.0,-53520.00489849915,-53391.202004424646,-53039.50010031472,-52905.2908226241
350,62.39142857142857,41.76285714285714,23.0,-53520.50477694865,-53391.202004424646,-53040.06789617034,-52905.2908226241
360,62.375,41.725,23.0,-53519.56227040054,-53391.202004424646,-53039.568411178145,-52905.2908226241
370,62.383783783783784,41.74054054054054,23.0,-53521.04984393416,-53391.202004424646,-53040.219703426534,-52905.2908226241
380,62.392105263157895,41.76578947368421,23.0,-53521.421912008664,-53391.202004424646,-53039.509815215904,-52905.2908226241
390,62.4,41.717948717948715,23.0,-53520.78215387681,-53391.202004424646,-53039.375671727175,-52905.2908226241
400,62.3775,41.6825,23.0,-53519.76725301253,-53381.08457556688,-53039.26403117851,-52899.842947073004
410,62.3780487804878,41.74390243902439,23.0,-53519.98090103777,-53381.08457556688,-53039.93351174242,-52899.842947073004
420,62.38333333333333,41.74523809523809,23.0,-53519.413119645615,-53381.08457556688,-53039.546807255065,-52899.842947073004
430,62.383720930232556,41.72790697674419,23.0,-53520.19536478284,-53381.08457556688,-53040.18870490403,-52899.842947073004
440,62.388636363636365,41.752272727272725,23.0,-53519.53948049128,-53381.08457556688,-53039.85462397016,-52899.842947073004
450,62.38444444444445,41.72222222222222,23.0,-53521.888764854215,-53381.08457556688,-53040.26398894832,-52899.842947073004
460,62.380434782608695,41.71521739130435,23.0,-53521.87708077838,-53381.08457556688,-53040.06165637816,-52899.842947073004
470,62.37234042553192,41.64042553191489,23.0,-53520.87681694459,-53381.08457556688,-53039.69870245336,-52899.842947073004
480,62.38125,41.62291666666667,23.0,-53520.78966163808,-53381.08457556688,-53039.724452808514,-52899.842947073004
490,62.36326530612245,41.608163265306125,23.0,-53520.71353728724,-53381.08457556688,-53039.41275887051,-52899.842947073004
500,62.358,41.598,23.0,-53521.90056824848,-53381.08457556688,-53039.61000518279,-52899.842947073004
510,62.37450980392157,41.680392156862744,23.0,-53521.648585101524,-53381.08457556688,-53039.45771097827,-52899.842947073004
520,62.38846153846154,41.684615384615384,23.0,-53521.34240365983,-53381.08457556688,-53039.39301755921,-52899.842947073004
530,62.4,41.69433962264151,23.0,-53521.322031607546,-53381.08457556688,-53039.53268808569,-52899.842947073004
540,62.38333333333333,41.61666666666667,23.0,-53522.000666027445,-53381.08457556688,-53039.40826791034,-52899.842947073004
550,62.38909090909091,41.654545454545456,23.0,-53521.297845289715,-53381.08457556688,-53039.29478585497,-52899.842947073004
