iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
18000,257.3776 ± 2.8321,5.8807 ± 0.8042,14.7170 ± 2.7221,15.4870 ± 3.5197,0.6714 ± 0.1026,0.3240 ± 0.1678,0.2752 ± 0.1372,-2468.1430 ± 127.3716,-2363.1119 ± 29.5756,-2407.1586 ± 130.3061,-2308.8964 ± 21.6684,44.7532 ± 6.6950,14.2677 ± 2.4326,16.2591 ± 1.7879,0.8100 ± 0.0000,0.0001 ± 0.0000,2335.5055 ± 137.4863,-2234.5642 ± 21.9679
19000,270.6649 ± 2.8302,1.6646 ± 0.4584,14.5940 ± 4.2005,14.4310 ± 7.3236,0.6208 ± 0.1251,0.2506 ± 0.1057,0.2079 ± 0.0743,-2506.9589 ± 202.3411,-2370.5020 ± 36.7231,-2444.7346 ± 232.9064,-2309.2611 ± 24.2348,43.3923 ± 5.6193,12.9217 ± 1.5752,15.1671 ± 1.8331,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,279.9867 ± 2.5923,3.9315 ± 1.9336,10.5590 ± 2.9691,6.9430 ± 8.1129,0.6185 ± 0.1302,0.1751 ± 0.1091,0.1976 ± 0.0796,-2702.4196 ± 304.4371,-2600.1517 ± 322.5957,-2679.3684 ± 334.6349,-2561.0898 ± 355.2252,43.7508 ± 5.8922,11.8376 ± 0.8135,13.9198 ± 1.1600,0.9000 ± 0.0000,0.0001 ± 0.0000,2637.3939 ± 359.5362,-2510.6885 ± 378.3063
21000,292.7017 ± 4.0018,1.4104 ± 0.5485,11.9710 ± 3.8238,10.2170 ± 8.3964,0.6304 ± 0.0667,0.2283 ± 0.1437,0.2239 ± 0.0804,-2594.4507 ± 279.8168,-2463.4025 ± 228.3504,-2558.5982 ± 311.4570,-2417.2577 ± 252.5561,42.3215 ± 5.1132,11.3480 ± 1.0127,14.6180 ± 1.9809,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,302.6572 ± 3.1307,4.6907 ± 2.0013,11.8460 ± 3.6513,10.1880 ± 8.5848,0.6188 ± 0.1119,0.2321 ± 0.1282,0.1885 ± 0.0493,-2582.9615 ± 294.2862,-2569.4737 ± 304.9855,-2549.1578 ± 323.8301,-2541.3571 ± 329.8639,42.5419 ± 4.4256,10.9028 ± 1.0751,14.9299 ± 1.2545,0.9000 ± 0.0000,0.0001 ± 0.0000,2498.6891 ± 348.7350,-2493.9336 ± 353.0370
23000,314.9021 ± 4.7323,1.3962 ± 0.5611,13.0540 ± 4.8213,10.6230 ± 9.0962,0.5408 ± 0.0725,0.1637 ± 0.1073,0.1610 ± 0.0413,-2638.1395 ± 261.6060,-2597.1142 ± 283.7719,-2586.1829 ± 298.9827,-2548.3940 ± 323.7857,41.3828 ± 6.9581,9.9148 ± 0.7914,11.8480 ± 1.1708,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,323.9251 ± 5.3935,4.4170 ± 1.9074,12.5100 ± 4.4652,9.1170 ± 8.1760,0.5770 ± 0.1161,0.1677 ± 0.1274,0.1894 ± 0.0689,-2678.8967 ± 240.4069,-2572.9523 ± 304.1745,-2639.4677 ± 274.7849,-2540.6464 ± 330.7634,37.9658 ± 5.8527,9.1837 ± 0.6686,11.7353 ± 1.0142,0.9000 ± 0.0000,0.0001 ± 0.0000,2590.2606 ± 301.6179,-2493.7923 ± 352.9070
25000,337.0004 ± 5.9393,1.2044 ± 0.5433,10.6700 ± 2.6684,7.0460 ± 8.1100,0.5828 ± 0.1207,0.2069 ± 0.1739,0.1907 ± 0.0919,-2697.3992 ± 306.0249,-2579.6444 ± 302.1044,-2677.6184 ± 331.7009,-2544.4073 ± 328.0374,37.2204 ± 6.2342,9.0255 ± 0.9723,10.7406 ± 1.2245,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,348.1077 ± 8.3976,4.8144 ± 1.9842,12.5830 ± 4.1098,10.4410 ± 8.7179,0.5882 ± 0.1169,0.2567 ± 0.1905,0.1938 ± 0.0916,-2579.9721 ± 296.3240,-2566.8221 ± 308.6592,-2550.0782 ± 322.0030,-2543.1417 ± 328.5603,34.7648 ± 5.4227,8.3979 ± 1.5060,10.7110 ± 1.7542,0.9000 ± 0.0000,0.0001 ± 0.0000,2496.1808 ± 351.1855,-2493.4920 ± 353.1964
27000,360.4000 ± 9.8921,1.3944 ± 0.5382,10.9410 ± 3.7172,9.0580 ± 7.6789,0.5993 ± 0.1158,0.2567 ± 0.1830,0.2193 ± 0.0952,-2565.7878 ± 309.9441,-2549.3836 ± 322.6822,-2543.4418 ± 328.7961,-2535.4394 ± 335.2904,33.0945 ± 7.9717,7.7109 ± 1.1845,9.3391 ± 1.3071,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,369.6071 ± 10.4882,4.7745 ± 2.0963,11.9380 ± 3.7482,10.5410 ± 8.9337,0.6045 ± 0.1305,0.2514 ± 0.1765,0.2237 ± 0.1159,-2612.5560 ± 275.0205,-2558.5104 ± 314.6249,-2549.7821 ± 323.3715,-2536.8439 ± 334.1527,29.5047 ± 8.8208,7.8766 ± 0.3699,12.0038 ± 3.0771,0.9000 ± 0.0000,0.0001 ± 0.0000,2495.5484 ± 351.5453,-2493.3057 ± 353.2311
29000,381.8361 ± 12.3042,1.3822 ± 0.5486,10.9800 ± 3.6987,9.3420 ± 8.0601,0.6018 ± 0.1186,0.2051 ± 0.1508,0.2218 ± 0.0899,-2590.5002 ± 289.7149,-2558.2592 ± 314.5157,-2558.7843 ± 314.7926,-2539.0301 ± 331.5456,27.0202 ± 10.7099,6.9260 ± 0.4669,9.4875 ± 1.0243,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,391.0603 ± 12.6222,3.9431 ± 1.6492,9.6350 ± 1.9962,6.3490 ± 6.2625,0.6373 ± 0.1520,0.2093 ± 0.1539,0.2434 ± 0.1112,-2669.4859 ± 296.2860,-2552.0610 ± 319.3363,-2656.9076 ± 308.4226,-2535.7521 ± 334.3578,22.9083 ± 10.0608,6.0971 ± 0.6833,8.2891 ± 1.1336,0.9000 ± 0.0000,0.0001 ± 0.0000,2617.3068 ± 326.8848,-2492.7631 ± 353.7543
31000,403.1149 ± 14.4911,1.0150 ± 0.4402,9.2940 ± 1.3161,3.8960 ± 6.1449,0.6116 ± 0.1294,0.1851 ± 0.1559,0.2234 ± 0.1125,-2804.8131 ± 257.2459,-2556.8846 ± 315.2018,-2796.0641 ± 276.1413,-2537.2186 ± 333.2047,18.1354 ± 8.3057,6.4009 ± 0.6657,7.4365 ± 0.7096,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,411.8523 ± 14.7896,3.2960 ± 1.2823,9.3110 ± 1.0855,4.1340 ± 5.0041,0.5652 ± 0.1181,0.1494 ± 0.1430,0.1988 ± 0.1132,-2804.5726 ± 265.2239,-2683.4952 ± 313.0615,-2780.0187 ± 270.9428,-2668.5355 ± 332.5260,13.7688 ± 7.7779,5.9510 ± 0.5485,6.9125 ± 1.6090,0.9000 ± 0.0000,0.0001 ± 0.0000,2745.6737 ± 284.8110,-2632.5165 ± 350.9673
33000,423.4174 ± 15.4564,1.5793 ± 0.4378,10.8550 ± 2.0316,11.6330 ± 5.9897,0.7246 ± 0.1433,0.4396 ± 0.2363,0.4555 ± 0.2156,-2460.2802 ± 232.5065,-2414.8851 ± 253.5736,-2428.3688 ± 249.4498,-2397.8445 ± 263.1222,10.9916 ± 5.4806,6.0073 ± 0.6608,6.6379 ± 1.0774,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,433.5287 ± 14.2862,5.1231 ± 1.4370,9.7410 ± 2.0365,10.8320 ± 5.8763,0.7498 ± 0.1639,0.4363 ± 0.2518,0.4503 ± 0.2364,-2438.1998 ± 243.2498,-2410.2539 ± 257.1950,-2409.6915 ± 257.8730,-2397.0428 ± 264.1875,8.9936 ± 3.6546,5.6087 ± 0.6253,6.1544 ± 1.7145,0.9000 ± 0.0000,0.0001 ± 0.0000,2358.4377 ± 275.5057,-2352.7777 ± 278.4591
35000,447.5588 ± 13.8927,1.5488 ± 0.4232,10.4820 ± 2.7611,10.7870 ± 5.7394,0.7118 ± 0.1789,0.4184 ± 0.2706,0.4201 ± 0.2491,-2435.4217 ± 242.8847,-2410.9599 ± 256.2048,-2407.3413 ± 258.1484,-2395.0918 ± 264.8927,7.0867 ± 2.6720,5.0602 ± 0.5693,4.7972 ± 0.8515,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,456.7139 ± 13.9674,5.0368 ± 1.4010,10.0570 ± 1.6846,10.1850 ± 5.3014,0.7585 ± 0.1106,0.4075 ± 0.1626,0.4012 ± 0.1437,-2426.5740 ± 245.3166,-2301.3406 ± 18.7506,-2403.1640 ± 258.5546,-2280.7286 ± 20.5450,6.7275 ± 2.1837,5.6017 ± 0.6483,5.5794 ± 1.8587,0.9000 ± 0.0000,0.0001 ± 0.0000,2356.1860 ± 275.0214,-2231.0791 ± 24.1170
37000,469.5046 ± 14.5812,1.5735 ± 0.4259,11.4380 ± 2.8781,11.0230 ± 5.7843,0.7458 ± 0.0859,0.3803 ± 0.1406,0.3433 ± 0.1311,-2432.6200 ± 234.3205,-2304.4568 ± 16.0435,-2403.3926 ± 250.1817,-2282.2237 ± 17.2771,6.5458 ± 2.0434,5.3199 ± 0.7617,5.1700 ± 0.6802,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,478.4723 ± 14.7021,5.1749 ± 1.1806,10.3820 ± 1.2303,10.9950 ± 4.6490,0.7701 ± 0.0957,0.3674 ± 0.1323,0.3914 ± 0.1379,-2431.8611 ± 208.4740,-2303.7446 ± 20.1667,-2391.8749 ± 223.7799,-2281.4380 ± 19.6102,6.3959 ± 2.1320,4.7599 ± 0.6873,5.7578 ± 0.9290,0.9000 ± 0.0000,0.0001 ± 0.0000,2339.8862 ± 240.1401,-2231.7784 ± 23.0516
39000,491.4718 ± 15.5044,1.5824 ± 0.3549,9.8630 ± 1.4480,10.6050 ± 4.7205,0.7498 ± 0.1061,0.3741 ± 0.1588,0.3659 ± 0.1671,-2416.1188 ± 223.9443,-2299.9719 ± 24.8682,-2393.4426 ± 234.0057,-2280.9733 ± 24.0811,6.4453 ± 2.3137,4.9972 ± 0.4541,5.1535 ± 0.8414,0.9000 ± 0.0000,0.0001 ± 0.0000,,
