iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
20000,291.8441 ± 5.4711,4.2634 ± 2.1278,12.3440 ± 4.6809,8.6110 ± 9.3635,0.6152 ± 0.0976,0.2031 ± 0.1261,0.1881 ± 0.0424,-2695.7610 ± 271.6424,-2494.8032 ± 245.8645,-2661.3212 ± 315.2476,-2443.7293 ± 274.7052,42.2323 ± 3.0004,11.7599 ± 1.7185,14.1055 ± 1.9998,0.9000 ± 0.0000,0.0001 ± 0.0000,2612.6582 ± 343.7858,-2376.3757 ± 298.1874
21000,303.6714 ± 6.7650,1.1582 ± 0.5550,11.4090 ± 4.9739,6.7850 ± 9.4994,0.6067 ± 0.1181,0.1784 ± 0.1262,0.1825 ± 0.0489,-2804.1166 ± 180.7185,-2528.9734 ± 231.8747,-2761.3197 ± 259.7419,-2451.4296 ± 270.9209,40.9741 ± 6.0550,10.7840 ± 1.0300,13.4587 ± 1.9601,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,312.5082 ± 7.2911,3.4253 ± 1.9977,10.7430 ± 4.5793,5.2140 ± 9.3308,0.5536 ± 0.0997,0.1827 ± 0.1359,0.1580 ± 0.0351,-2842.3520 ± 220.4018,-2708.0936 ± 296.5304,-2813.9253 ± 282.6686,-2675.1888 ± 339.6037,41.7121 ± 6.1681,10.4215 ± 0.6470,12.5907 ± 1.2902,0.9000 ± 0.0000,0.0001 ± 0.0000,2776.3777 ± 309.1182,-2630.3878 ± 366.6655
23000,323.7394 ± 9.1890,1.1778 ± 0.5386,11.6140 ± 4.0395,7.0250 ± 8.2749,0.5763 ± 0.0914,0.1671 ± 0.0858,0.1694 ± 0.0509,-2769.6758 ± 248.9264,-2595.4358 ± 286.2387,-2738.5930 ± 284.9707,-2552.6400 ± 321.8182,40.7637 ± 6.5321,9.5593 ± 0.9059,12.5025 ± 1.1940,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,332.5740 ± 9.7501,3.3023 ± 1.6063,9.4670 ± 1.3804,4.2280 ± 6.5642,0.5795 ± 0.1342,0.1817 ± 0.1223,0.1835 ± 0.0942,-2812.1243 ± 270.8476,-2580.9172 ± 297.4754,-2801.3154 ± 292.2540,-2544.3685 ± 328.7247,39.7661 ± 5.7302,9.1915 ± 0.9648,11.6486 ± 0.2789,0.9000 ± 0.0000,0.0001 ± 0.0000,2766.7562 ± 309.6289,-2494.1939 ± 352.3868
25000,343.8206 ± 11.3224,1.0189 ± 0.4470,9.3820 ± 1.1536,4.1920 ± 6.2208,0.5607 ± 0.1465,0.1482 ± 0.1614,0.1782 ± 0.1053,-2806.4302 ± 272.2259,-2701.2336 ± 321.3698,-2795.9161 ± 292.4782,-2681.7891 ± 347.2804,39.4569 ± 7.2790,8.4947 ± 0.9292,12.4698 ± 1.6021,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,352.5980 ± 11.8259,3.2859 ± 1.3996,8.6880 ± 0.7596,3.9880 ± 5.4911,0.6391 ± 0.1736,0.2194 ± 0.2166,0.2523 ± 0.1777,-2800.4269 ± 260.9111,-2559.7277 ± 313.1112,-2791.5887 ± 277.1630,-2537.0793 ± 333.7590,37.3652 ± 7.3563,8.0251 ± 0.9241,10.3206 ± 1.0391,0.9000 ± 0.0000,0.0001 ± 0.0000,2758.7283 ± 289.9984,-2493.9252 ± 352.6162
27000,363.7336 ± 13.3427,1.1643 ± 0.4999,10.1720 ± 2.4554,6.2930 ± 7.0849,0.5893 ± 0.1951,0.2250 ± 0.1824,0.2471 ± 0.1480,-2738.6549 ± 274.3331,-2557.0370 ± 317.5405,-2713.7405 ± 302.6126,-2537.6078 ± 335.0707,36.6878 ± 7.4191,8.0202 ± 0.7024,10.5033 ± 1.7311,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,372.5817 ± 13.7627,3.6340 ± 1.5934,10.2210 ± 3.0938,5.5020 ± 6.6588,0.5400 ± 0.1335,0.1252 ± 0.0908,0.1660 ± 0.0840,-2753.3424 ± 252.6494,-2690.3787 ± 334.2972,-2737.5449 ± 275.7434,-2677.6085 ± 351.7531,31.9694 ± 4.8868,7.9524 ± 0.8361,8.9800 ± 1.1497,0.9000 ± 0.0000,0.0001 ± 0.0000,2699.1338 ± 295.8097,-2639.0033 ± 370.2433
29000,383.6829 ± 15.0126,0.9662 ± 0.3697,8.6640 ± 0.4550,3.0920 ± 4.5444,0.5835 ± 0.1578,0.1511 ± 0.1086,0.2139 ± 0.1240,-2823.5451 ± 257.5564,-2551.7929 ± 323.1560,-2817.6910 ± 270.6190,-2535.7481 ± 336.9991,28.3686 ± 7.7792,6.8025 ± 0.4339,9.6549 ± 0.9779,0.9000 ± 0.0000,0.0001 ± 0.0000,,
