iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
23000,309.8814 ± 4.8427,1.5488 ± 0.4974,13.3430 ± 3.3609,12.0900 ± 7.3645,0.6500 ± 0.1049,0.2869 ± 0.1568,0.2627 ± 0.1205,-2558.4787 ± 230.2329,-2465.6637 ± 262.6334,-2516.6791 ± 257.5994,-2428.3592 ± 283.7535,9.5989 ± 1.3564,10.1708 ± 1.3444,9.4633 ± 1.4473,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,318.8140 ± 5.1540,5.2705 ± 1.6190,13.1940 ± 2.6668,12.5900 ± 6.6778,0.6672 ± 0.1158,0.2402 ± 0.1318,0.2427 ± 0.0814,-2526.7570 ± 239.9463,-2461.2837 ± 265.3768,-2485.6066 ± 263.7946,-2428.2208 ± 283.5297,9.2369 ± 2.2635,9.1815 ± 0.6908,9.1813 ± 1.4197,0.9000 ± 0.0000,0.0001 ± 0.0000,2423.5138 ± 283.2168,-2371.6175 ± 300.8511
25000,331.5867 ± 6.4562,1.5567 ± 0.5018,13.9880 ± 3.3359,12.4420 ± 7.3684,0.6219 ± 0.0997,0.2408 ± 0.1502,0.2229 ± 0.1052,-2550.6592 ± 251.6925,-2470.7487 ± 262.0579,-2507.0088 ± 277.6164,-2434.5178 ± 281.2192,7.4943 ± 0.7930,8.8326 ± 0.4265,8.1759 ± 0.7130,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,340.4400 ± 6.6649,4.9020 ± 1.3747,12.4550 ± 1.9702,10.6400 ± 5.5949,0.5989 ± 0.0674,0.2396 ± 0.1446,0.2332 ± 0.1187,-2576.1145 ± 211.5889,-2454.3939 ± 269.9897,-2542.4810 ± 232.1194,-2426.8205 ± 284.5517,7.6749 ± 2.1038,8.2975 ± 0.6596,8.2347 ± 1.8577,0.9000 ± 0.0000,0.0001 ± 0.0000,2487.8802 ± 246.9463,-2372.0330 ± 300.6417
27000,352.4807 ± 7.6967,1.2959 ± 0.4814,11.4140 ± 2.6098,8.0040 ± 6.8606,0.6172 ± 0.0842,0.1812 ± 0.0844,0.2223 ± 0.0767,-2652.6271 ± 247.6376,-2451.2451 ± 270.6751,-2628.8008 ± 270.0275,-2425.5389 ± 285.2247,7.7359 ± 2.2379,7.3596 ± 1.0178,7.6172 ± 1.8978,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,362.1396 ± 7.3126,4.1911 ± 2.0349,11.5030 ± 3.2184,8.0710 ± 8.6862,0.6554 ± 0.1028,0.2039 ± 0.0851,0.2390 ± 0.0666,-2687.5997 ± 265.7448,-2452.2630 ± 270.1110,-2661.0039 ± 299.7677,-2426.6656 ± 284.4272,5.5618 ± 0.5691,7.4094 ± 0.6107,6.7547 ± 0.8399,0.9000 ± 0.0000,0.0001 ± 0.0000,2615.2756 ± 325.7085,-2372.6522 ± 300.2739
29000,373.5916 ± 8.9338,1.2129 ± 0.4746,10.1470 ± 1.3207,6.4280 ± 6.2133,0.6571 ± 0.1023,0.2456 ± 0.1495,0.2626 ± 0.1124,-2682.7698 ± 281.4566,-2438.9344 ± 277.6100,-2668.7155 ± 297.5183,-2419.3423 ± 288.7174,6.4663 ± 2.0086,7.4493 ± 0.7405,6.4184 ± 1.9080,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,382.2658 ± 9.1416,3.6906 ± 1.5362,9.7170 ± 1.0080,5.4090 ± 5.8139,0.6493 ± 0.1020,0.2275 ± 0.1501,0.2549 ± 0.1080,-2709.4298 ± 311.9935,-2442.1524 ± 276.0193,-2700.2564 ± 324.2385,-2420.0108 ± 288.2071,6.3657 ± 2.3793,6.4070 ± 0.8493,7.0300 ± 1.8032,0.9000 ± 0.0000,0.0001 ± 0.0000,2662.5232 ± 340.9657,-2371.7453 ± 300.7895
31000,393.2998 ± 9.7187,1.1601 ± 0.4921,9.2580 ± 1.9730,5.5820 ± 6.1820,0.6574 ± 0.1230,0.2688 ± 0.2265,0.2818 ± 0.1846,-2692.8045 ± 337.6511,-2440.8347 ± 276.4550,-2683.4302 ± 350.5309,-2418.4289 ± 288.8323,7.8528 ± 3.4042,6.4480 ± 0.5005,5.9984 ± 1.1802,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,401.9692 ± 10.1276,4.5731 ± 1.5019,10.5150 ± 1.3703,8.7480 ± 5.7114,0.6694 ± 0.1154,0.2857 ± 0.2039,0.3039 ± 0.1730,-2557.3704 ± 265.2094,-2312.5326 ± 24.4029,-2538.1690 ± 279.2132,-2284.4849 ± 19.8975,4.8352 ± 0.7839,5.9243 ± 0.9424,4.8766 ± 0.4296,0.9000 ± 0.0000,0.0001 ± 0.0000,2491.9903 ± 295.8589,-2230.8930 ± 22.4152
33000,413.9400 ± 11.2969,1.5248 ± 0.3525,10.5920 ± 0.8433,10.3750 ± 4.6455,0.6775 ± 0.1432,0.3388 ± 0.2006,0.3486 ± 0.1650,-2464.4570 ± 230.2132,-2309.5932 ± 23.4905,-2440.1321 ± 241.5911,-2284.6488 ± 19.0864,5.0669 ± 1.7693,5.3399 ± 0.5866,5.6183 ± 1.5629,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,423.6966 ± 12.9214,5.3445 ± 1.0291,11.0220 ± 0.9947,11.7980 ± 4.0762,0.7085 ± 0.0979,0.3678 ± 0.1841,0.3611 ± 0.1593,-2418.2815 ± 187.3468,-2303.6238 ± 25.8025,-2386.6733 ± 196.4080,-2283.1952 ± 21.4314,6.1536 ± 3.5092,5.6072 ± 0.8161,5.4785 ± 1.3651,0.9000 ± 0.0000,0.0001 ± 0.0000,2332.0555 ± 205.0312,-2230.4950 ± 23.1770
35000,436.4495 ± 13.6757,1.5366 ± 0.3202,9.7070 ± 1.4514,10.4240 ± 4.1228,0.7556 ± 0.0846,0.4074 ± 0.1984,0.4213 ± 0.1901,-2420.4012 ± 221.7157,-2300.6696 ± 23.1240,-2399.4060 ± 229.0743,-2281.4366 ± 20.4132,4.8636 ± 1.4588,5.8097 ± 1.1415,5.2929 ± 1.2335,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,445.1645 ± 14.1106,4.8445 ± 1.3325,9.3770 ± 1.8346,9.3540 ± 4.7446,0.6973 ± 0.1625,0.3887 ± 0.2493,0.4016 ± 0.2396,-2437.8795 ± 278.4244,-2424.4901 ± 285.7467,-2419.6023 ± 288.5644,-2411.4552 ± 292.8088,4.6806 ± 0.6486,5.5692 ± 0.3081,5.1770 ± 0.7552,0.9000 ± 0.0000,0.0001 ± 0.0000,2374.5413 ± 299.6437,-2369.9910 ± 302.0450
37000,457.3045 ± 15.4513,1.4887 ± 0.4110,9.3220 ± 2.4099,9.6180 ± 5.1205,0.6973 ± 0.1679,0.3926 ± 0.2430,0.3998 ± 0.2333,-2441.1449 ± 276.8945,-2424.9739 ± 285.4584,-2420.8557 ± 288.0402,-2411.5188 ± 292.8165,4.7807 ± 1.6035,5.4604 ± 0.7155,5.7901 ± 1.3399,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,466.9483 ± 13.9711,4.7343 ± 1.3031,8.3110 ± 1.5423,8.8910 ± 4.7758,0.7170 ± 0.1617,0.3835 ± 0.2198,0.4103 ± 0.2165,-2437.0339 ± 279.1439,-2423.3236 ± 286.3453,-2420.9698 ± 288.0481,-2411.2689 ± 292.9783,4.5502 ± 1.1400,4.6463 ± 0.7473,4.6003 ± 1.5319,0.9000 ± 0.0000,0.0001 ± 0.0000,2376.7215 ± 298.6561,-2370.3551 ± 301.8430
39000,478.8505 ± 14.9176,1.4535 ± 0.4013,8.6770 ± 1.7241,8.9750 ± 4.8409,0.6904 ± 0.1565,0.4070 ± 0.2341,0.4202 ± 0.2150,-2436.2557 ± 279.6723,-2423.3676 ± 286.2733,-2419.8905 ± 288.6447,-2412.3885 ± 292.3726,5.0123 ± 1.7796,4.9558 ± 0.6794,5.2424 ± 1.5774,0.9000 ± 0.0000,0.0001 ± 0.0000,,
